Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
Japón,1990,1048.9578601810001,1048957860.1810001,12.39119,869.5210000000001,439.724766696,JPN,25359.34702031004,123537000.0,8.491042037454367,3.559458030355278e-06
Malasia,1990,50.233890495,50233890.495,17.331422,23.016000000000002,21.809199335000002,MYS,2441.741990548945,18029824.0,2.7861553443339213,1.2096179826824712e-06
Corea,1990,243.98942070200002,243989420.70200002,6.037714,105.371,93.971125207,KOR,6516.305759389567,42869283.0,5.691474259133282,2.192038649375125e-06
Tailandia,1990,80.92055525,80920555.25,11.264035,44.176,41.947283238000004,THA,1508.9427367051373,56558186.0,1.4307487734843547,7.416659939906842e-07
Australia,1990,270.444863569,270444863.569,10.082635,155.019,87.155149096,AUS,18211.13930936482,17065100.0,15.847833506337496,5.107215843798162e-06
Nueva Zelanda,1990,21.624952873999998,21624952.873999998,80.006199,32.265,13.620021179,NZL,13663.021618429788,3329800.0,6.494369894287945,4.090342116343324e-06
Argelia,1990,52.972387106000006,52972387.106000006,0.782972,17.242,22.184329687,DZA,2408.6888148224757,25758869.0,2.0564717770023213,8.612307352081336e-07
Egipto,1990,78.49648802600001,78496488.02600001,23.504354,42.256,32.240886786,EGY,765.6420463779234,56134475.0,1.3983650515302763,5.743509097751426e-07
Nigeria,1990,28.320070991,28320070.991,32.585605,13.463000000000001,66.43258592500001,NGA,567.5286728583452,95212450.0,0.2974408387873645,6.97730033467262e-07
Sudáfrica,1990,253.943132123,253943132.123,1.704878,167.226,90.343167988,ZAF,3139.9660541499743,36800509.0,6.9005331454247,2.4549434353747664e-06
Iran,1990,181.21640076600002,181216400.76600003,10.292376,59.102000000000004,69.329479423,IRN,2214.3274920551385,56366217.0,3.214982491480669,1.2299828356939404e-06
Kuwait,1990,28.072068961000003,28072068.961000003,0.0,18.477,9.113770613000002,KWT,8794.631228942731,2095344.0,13.397355737769074,4.349534307015937e-06
Arabia Saudita,1990,155.68700493100002,155687004.93100002,0.0,69.208,57.995276875,SAU,7246.016366633118,16233785.0,9.590308417353071,3.572504925684306e-06
Emiratos Árabes Unidos,1990,52.150223448999995,52150223.44899999,0.0,17.080000000000002,20.421878003000003,ARE,27729.46642166483,1828432.0,28.521828238075024,1.1169066174186408e-05
Bélgica,1991,110.429060757,110429060.757,1.7877,71.936,50.016966989000004,BEL,21154.2918385501,10004486.0,11.037954449334029,4.999453943860784e-06
República Checa,1991,139.64512612800002,139645126.12800002,2.179157,60.528,45.150310856,CZE,2878.7192830636873,10308578.0,13.546497502177315,4.379877695643375e-06
Francia,1991,392.512236314,392512236.314,13.97131,455.555,237.30154513000002,FRA,21675.064248549337,58559311.0,6.702815139235501,4.052328162296855e-06
Alemania,1991,938.893302223,938893302.2229999,3.852055,539.634,344.407257243,DEU,23269.381797244518,80013896.0,11.734128059743522,4.304343051149516e-06
Italia,1991,399.14749421700003,399147494.217,22.048004,221.816,154.93776747500002,ITA,21884.104371464284,56758521.0,7.032380111120232,2.7297710501476954e-06
Países Bajos,1991,171.47368693,171473686.93,1.256991,74.384,69.49936669700001,NLD,21732.230801300015,15069798.0,11.378632077881868,4.611831339544167e-06
Polonia,1991,366.219796869,366219796.869,2.593643,134.714,101.31894369,POL,2235.541088625215,38246193.0,9.5753268009969,2.649124938788025e-06
Portugal,1991,41.101441378000004,41101441.378000006,33.446036,29.872,17.331995900000003,PRT,8959.86720805384,9960235.0,4.1265533773048535,1.7401191738949937e-06
Rumania,1991,136.37090787100001,136370907.87100002,25.681742,56.803000000000004,51.334976217000005,ROU,1260.749045451253,23001155.0,5.928872174940781,2.231843410341785e-06
España,1991,216.720923453,216720923.453,18.52218,155.797,93.853984056,ESP,14771.672302029207,38966376.0,5.561741832317176,2.408588985950349e-06
Suecia,1991,52.769173982,52769173.982,44.461858,147.39600000000002,47.862228566,SWE,31409.213247884465,8617375.0,6.123578697921351,5.554154085902029e-06
Reino Unido,1991,563.2951932459999,563295193.2459999,2.120325,322.875,212.735973801,GBR,19900.726650506862,57424897.0,9.809250389182237,3.70459478231193e-06
Noruega,1991,26.3912235,26391223.5,99.801818,111.009,21.735042032000003,NOR,28596.93300364437,4261732.0,6.192605142697851,5.100049001673498e-06
Turquía,1991,135.02620543199998,135026205.43199998,37.848156,60.246,52.09902616,TUR,2735.7078640717277,54840590.0,2.4621581465844913,9.500084911559121e-07
Kazajstán,1991,243.203829565,243203829.565,8.373651,85.98400000000001,74.921534013,KAZ,1512.4850664963958,16450500.0,14.783977968146864,4.5543621174432384e-06
Rusia,1991,2199.361050164,2199361050.164,15.69414,1068.163,872.4748573730001,RUS,3485.05600012759,148624000.0,14.798155413419098,5.870349723954409e-06
Ucrania,1991,629.633848292,629633848.292,4.279414,278.683,244.412040223,UKR,1489.68963452658,52000470.0,12.108233796579148,4.700189060271955e-06
Uzbekistán,1991,120.266251619,120266251.619,11.134496,54.165,48.086637784,UZB,652.8074752874295,20952000.0,5.740084556080565,2.2950858048873615e-06
Canadá,1991,422.681785916,422681785.916,61.418835,508.572,210.280480693,CAN,21768.343294182832,28037420.0,15.075630565009192,7.499993961391597e-06
Estados Unidos,1991,4803.235019899001,4803235019.899001,11.328148,3275.84,1925.372728432,USA,24342.25890481894,252981000.0,18.986544522707245,7.610740444665805e-06
Argentina,1991,105.635924828,105635924.828,30.736236,53.855000000000004,47.490880146,ARG,5735.360327352233,33079000.0,3.1934437204268566,1.4356806477221198e-06
Brasil,1991,197.353702924,197353702.924,94.625753,234.377,143.206651265,BRA,3975.390089356332,151648011.0,1.3013932831865496,9.443358361291003e-07
Chile,1991,29.466280258,29466280.258,70.973398,19.961000000000002,14.32600879,CHL,2803.5620904997345,13495258.0,2.183454385088451,1.0615587186254609e-06
Colombia,1991,47.74083585,47740835.85,75.682617,36.99,24.487753165999997,COL,1456.6939689909927,33758337.0,1.4141939471129754,7.253838708346326e-07
México,1991,281.930311114,281930311.114,22.38893,128.568,129.47290846200002,MEX,3661.9478793614517,85512623.0,3.296943787047674,1.5140794881476156e-06
Venezuela,1991,93.073730149,93073730.149,70.325402,63.337,41.273673204,VEN,2661.0334535918155,20096317.0,4.631382464209736,2.053792901654567e-06
China,1991,2376.688519094,2376688519.0940003,18.471131,677.625,847.9391196690001,CHN,333.14214540018395,1150780000.0,2.06528486686769,7.368385961426164e-07
India,1991,561.6132894140001,561613289.414,22.807402,319.25600000000003,318.451530682,IND,303.05561259578536,891273209.0,0.630124729143519,3.5729956590897595e-07
Indonesia,1991,160.421819475,160421819.475,20.557043,37.34,103.49872837500001,IDN,631.7828372847612,184591903.0,0.8690620599702036,5.606894272876098e-07
Japón,1991,1056.7534590980001,1056753459.0980002,13.139568,897.754,444.684840774,JPN,28925.041575688072,123921000.0,8.527638246124548,3.588454263393614e-06
Malasia,1991,60.702007377,60702007.377000004,16.601386,26.552,26.89882964,MYS,2653.507104533043,18519937.0,3.2776573363613495,1.4524255476678998e-06
Corea,1991,268.259845363,268259845.363,4.39993,114.82000000000001,100.846878996,KOR,7523.477001618435,43295704.0,6.195992225071568,2.3292583253987507e-06
Tailandia,1991,90.072338986,90072338.986,9.140181,50.185,45.551523297,THA,1716.4155994684857,57232465.0,1.5737980005928454,7.959035714607085e-07
Australia,1991,271.185035195,271185035.195,10.758969,156.818,85.99050849,AUS,18821.25033882728,17284000.0,15.689946493577875,4.975150919347373e-06
Nueva Zelanda,1991,22.172527449,22172527.449,77.189452,33.296,13.804575136,NZL,12230.073454883395,3495100.0,6.343889287574033,3.9496938960258645e-06
Argelia,1991,57.139727529000005,57139727.52900001,1.580793,18.535,23.466083634,DZA,1731.6112744431682,26400479.0,2.1643443487900353,8.888506770653669e-07
Egipto,1991,77.173861173,77173861.17300001,22.349648,44.296,32.259471843,EGY,651.0775816546408,57424549.0,1.3439175843244324,5.617714445262774e-07
Nigeria,1991,33.589138584000004,33589138.58400001,41.864897,14.167,69.61533823399999,NGA,502.9141389189393,97667632.0,0.34391269549772646,7.127779880441864e-07
Sudáfrica,1991,249.99822323400002,249998223.23400003,2.248152,168.316,92.72615223000001,ZAF,3285.9546502862995,37718950.0,6.627921064451689,2.4583439419708136e-06
Iran,1991,200.785320706,200785320.706,11.003337,64.126,76.856320495,IRN,,57679034.0,3.481079809797092,1.33248279600175e-06
Kuwait,1991,7.821593521,7821593.521,0.0,10.78,2.691724432,KWT,5419.590830790933,2031296.0,3.8505434564928005,1.325126634424525e-06
Arabia Saudita,1991,162.059007331,162059007.331,0.0,74.011,67.509003384,SAU,7883.24573806222,16772694.0,9.662073804661315,4.024935015448323e-06
Emiratos Árabes Unidos,1991,59.462183527,59462183.527,0.0,17.351,23.485420848,ARE,26612.33553696905,1937153.0,30.69565673284454,1.2123678846224331e-05
Bélgica,1992,109.475112035,109475112.035,1.982693,72.22500000000001,50.55184777,BEL,23497.72740674225,10045158.0,10.898296675373349,5.032459197754779e-06
República Checa,1992,134.20292133400002,134202921.33400002,2.762552,59.293,44.086811997,CZE,3352.034161446508,10319123.0,13.005264239412595,4.272340972871435e-06
Francia,1992,381.309677603,381309677.603,16.115555,463.639,233.993820128,FRA,23813.71184171506,58851217.0,6.479214824104656,3.976023471664146e-06
Alemania,1992,899.683666863,899683666.863,4.378477,537.47,337.865231774,DEU,26333.537444514965,80624598.0,11.158922824805899,4.190597412640743e-06
Italia,1992,398.514439135,398514439.135,21.813095,226.254,154.023939644,ITA,23166.80406268323,56797087.0,7.016459121134153,2.711828154919283e-06
Países Bajos,1992,169.638382957,169638382.95700002,1.287909,77.257,68.86909654499999,NLD,23904.03739029929,15184166.0,11.172057981781812,4.5355863828806925e-06
Polonia,1992,358.952540657,358952540.657,2.772881,132.75,98.71704078900001,POL,2459.0206846825326,38363667.0,9.356575341377038,2.5731909514541457e-06
Portugal,1992,45.050376222,45050376.221999995,19.828503,30.088,18.60146982,PRT,10811.630636570999,9952494.0,4.5265414098214976,1.8690259768054117e-06
Rumania,1992,126.541026334,126541026.33399999,21.592398,54.195,46.767573242,ROU,1102.1037847324649,22794284.0,5.551436769586621,2.051723723456284e-06
España,1992,226.939273533,226939273.533,13.621643,158.718,95.321266959,ESP,16068.426721444352,39157685.0,5.795523242321399,2.4342927054804183e-06
Suecia,1992,53.300741129,53300741.129,52.505377,146.465,45.675609425000005,SWE,32374.67900751299,8668067.0,6.149091963525432,5.269411210711685e-06
Reino Unido,1992,557.051620773,557051620.773,2.523649,321.043,212.29219252400003,GBR,20487.170785287846,57580402.0,9.674326705343253,3.686882778692654e-06
Noruega,1992,29.274061591000002,29274061.591000002,99.817877,117.503,22.201156572,NOR,30523.985055897447,4286401.0,6.829520054469939,5.1794399478723525e-06
Turquía,1992,139.020439581,139020439.581,39.626088,67.342,53.492103173000004,TUR,2842.3698763747534,55748948.0,2.493687227622663,9.595177145405508e-07
Kazajstán,1992,249.263463379,249263463.379,8.302197,82.70100000000001,78.823902577,KAZ,1515.104058958832,16439095.0,15.162845848813454,4.7949052290895575e-06
