FUENTE DE ENERGÍA,Year,Generación renovable (GWh),Demanda energética,tCO2_MWh_real,tCO2_MWh_estimado
Total GWh,2011,1403.3072673247839,116349.39249500001,0.5681338331447553,0.5358675896470132
Total GWh,2012,2141.987862518987,121293.22124999999,0.5853724227958405,0.556094966678781
Total GWh,2013,1980.567855863912,125166.352615,0.562433840238664,0.5719800320597533
Total GWh,2014,2304.368114711005,126467.08000500001,0.5308918348078854,0.55956603261413
Total GWh,2015,2469.879442,132106.76843799994,0.5275499162124648,0.5402918637530048
Total GWh,2016,2632.75713213143,132961.36707899993,0.516768150038014,0.5250699670194546
Total GWh,2017,2634.778049,132507.45265399996,0.4797525195348172,0.5080235285950987
